track_id,start_time,last_seen,duration_sec,pose_class
1,1755187855.9107723,1755188042.424231,186.51345872879028,unknown
2,1755187855.9107723,1755187901.2711725,45.36040019989014,unknown
3,1755187856.4253328,1755187873.204576,16.779243230819702,unknown
4,1755187892.6016681,1755187925.2311733,32.6295051574707,unknown
7,1755187912.0840805,1755188020.1604044,108.07632398605347,unknown
9,1755187923.3379166,1755187995.4856682,72.14775156974792,unknown
12,1755187937.932974,1755188028.4463453,90.51337122917175,unknown
18,1755187974.9879189,1755188000.2960312,25.308112382888794,unknown
23,1755187991.7605278,1755188022.2696936,30.50916576385498,unknown
24,1755187991.7605278,1755188020.1604044,28.399876594543457,unknown
25,1755187995.4856682,1755188042.424231,46.938562870025635,unknown
27,1755188005.2418165,1755188038.5886502,33.3468337059021,unknown
28,1755188019.1615262,1755188102.4547408,83.29321455955505,unknown
30,1755188020.1604044,1755188081.7533076,61.59290313720703,unknown
31,1755188020.1604044,1755188059.1303775,38.96997308731079,unknown
35,1755188035.9953747,1755188054.0818698,18.08649516105652,unknown
37,1755188060.6704013,1755188079.1918035,18.52140212059021,unknown
38,1755188063.6609688,1755188081.7533076,18.092338800430298,unknown
41,1755188082.1572297,1755188118.029992,35.87276244163513,unknown
42,1755188085.8987267,1755188118.8152914,32.91656470298767,unknown
44,1755188086.4529357,1755188116.1225624,29.669626712799072,unknown
46,1755188094.1702695,1755188115.427921,21.257651567459106,unknown
48,1755188097.1968327,1755188114.9780595,17.781226873397827,unknown
51,1755188130.9419632,1755188697.0275908,566.0856275558472,unknown
52,1755188130.9419632,1755188601.1607056,470.21874237060547,unknown
53,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
54,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
55,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
56,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
57,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
58,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
59,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
60,1755188130.9419632,1755188597.118654,466.1766908168793,unknown
61,1755188130.9419632,1755188520.9085672,389.9666039943695,unknown
62,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
63,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
64,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
65,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
66,1755188130.9419632,1755188635.0141997,504.07223653793335,unknown
67,1755188130.9419632,1755188918.9619782,788.020015001297,unknown
68,1755188130.9419632,1755188930.6860178,799.744054555893,unknown
69,1755188130.9419632,1755188925.0740356,794.1320724487305,unknown
71,1755188133.283566,1755188451.492409,318.2088429927826,unknown
72,1755188135.4986355,1755188914.6789472,779.1803116798401,unknown
75,1755188147.177742,1755188930.6860178,783.5082757472992,unknown
76,1755188149.5130484,1755188930.6860178,781.1729693412781,unknown
79,1755188164.392636,1755188928.908713,764.516077041626,unknown
84,1755188186.7194033,1755188278.6610003,91.94159698486328,unknown
89,1755188282.043571,1755188605.0998952,323.05632424354553,unknown
91,1755188284.9624171,1755188930.6860178,645.7236006259918,unknown
92,1755188287.9478164,1755188529.1076474,241.1598310470581,unknown
94,1755188303.1602035,1755188512.3126423,209.15243887901306,unknown
95,1755188303.1602035,1755188930.6860178,627.5258142948151,unknown
99,1755188322.5533304,1755188875.1649392,552.6116087436676,unknown
102,1755188329.1725094,1755188573.082321,243.90981149673462,unknown
104,1755188335.8867188,1755188746.485474,410.59875535964966,unknown
105,1755188339.2165766,1755188930.6860178,591.4694411754608,unknown
107,1755188342.6178968,1755188930.6860178,588.0681209564209,unknown
110,1755188360.6597195,1755188796.3381925,435.67847299575806,unknown
111,1755188368.1236053,1755188754.9972858,386.87368059158325,unknown
112,1755188398.1945517,1755188676.8222883,278.6277365684509,unknown
114,1755188447.2160532,1755188708.2721066,261.0560534000397,unknown
115,1755188447.2160532,1755188672.6184855,225.40243220329285,unknown
118,1755188561.04611,1755188923.0398946,361.9937846660614,unknown
121,1755188593.040807,1755188930.6860178,337.64521074295044,unknown
122,1755188593.040807,1755188772.7913737,179.75056672096252,unknown
129,1755188708.2721066,1755188930.6860178,222.41391110420227,unknown
130,1755188708.2721066,1755188930.6860178,222.41391110420227,unknown
131,1755188708.2721066,1755188834.9990976,126.72699093818665,unknown
134,1755188728.8257875,1755188854.5455704,125.71978282928467,unknown
136,1755188760.004709,1755188930.6860178,170.6813087463379,unknown
137,1755188760.004709,1755188897.4984,137.49369096755981,unknown
141,1755188813.5661018,1755188930.6860178,117.11991596221924,unknown
142,1755188822.2771175,1755188927.0453908,104.76827335357666,unknown
145,1755188940.1693509,1755189009.2983646,69.12901377677917,unknown
146,1755188940.1693509,1755189009.2983646,69.12901377677917,unknown
147,1755188940.1693509,1755189009.2983646,69.12901377677917,unknown
148,1755188940.1693509,1755189483.9731884,543.8038375377655,unknown
149,1755188940.1693509,1755189009.2983646,69.12901377677917,unknown
150,1755188940.8950424,1755189009.2983646,68.40332221984863,unknown
151,1755188941.6508574,1755188974.261486,32.610628604888916,unknown
152,1755188946.9932282,1755189009.2983646,62.30513644218445,unknown
156,1755188953.4828484,1755189009.2983646,55.815516233444214,unknown
158,1755188961.6675231,1755189224.4588168,262.79129362106323,unknown
159,1755188961.6675231,1755190197.0057995,1235.338276386261,unknown
160,1755188961.6675231,1755190197.0057995,1235.338276386261,unknown
161,1755188961.6675231,1755189375.1610947,413.4935715198517,unknown
