Model,Load Time (s),Inference Time (ms),Parameters (M),Top Prediction,Confidence
ViT-B-32_openai,1.6922616958618164,10.94437837600708,151.277313,a photo of a BMW X3,0.9983066320419312
ViT-B-16_openai,88.69075012207031,16.24739170074463,149.620737,a photo of a BMW X3,0.9998559951782227
ViT-L-14_openai,4.217489242553711,57.75197744369507,427.616513,a photo of a BMW X3,1.0
ViT-B-32_laion2b_s34b_b79k,103.10179853439331,10.26395559310913,151.277313,a photo of a BMW X3,0.9999997615814209
RN50_openai,73.07877087593079,10.55670976638794,102.007137,a photo of a BMW X3,0.7443686723709106
RN101_openai,83.29651856422424,13.818681240081787,119.688033,a photo of a BMW X3,0.852181613445282
