frame_id,label,confidence,x,y,w,h
1,a lion,0.284,0,0,720,1280
1,a lion,0.284,0,0,720,1280
1,a lion,0.282,8,15,711,1265
2,a lion,0.287,0,0,720,1280
2,a lion,0.287,0,0,720,1280
2,a lion,0.282,9,15,709,1265
3,a lion,0.286,0,0,720,1280
3,a lion,0.288,0,0,719,1280
3,a lion,0.296,7,16,711,1264
4,a lion,0.288,0,0,719,1280
4,a lion,0.288,0,0,720,1280
4,a lion,0.296,6,7,712,1273
5,a lion,0.297,0,0,718,1280
5,a lion,0.289,0,0,720,1280
5,a lion,0.297,0,0,718,1280
6,a lion,0.286,0,0,719,1280
6,a lion,0.285,0,0,720,1280
6,a lion,0.291,3,16,716,1264
7,a lion,0.285,0,0,719,1280
7,a lion,0.288,0,0,720,1280
7,a lion,0.288,6,16,713,1264
8,a lion,0.288,0,0,719,1280
8,a lion,0.288,0,0,719,1280
8,a lion,0.291,6,36,712,1244
9,a lion,0.289,0,0,719,1280
9,a lion,0.289,0,0,719,1280
9,a lion,0.29,7,16,711,1264
10,a lion,0.286,0,0,718,1280
10,a lion,0.277,0,0,719,1280
10,a lion,0.275,3,7,716,1273
11,a lion,0.282,0,0,718,1280
11,a lion,0.285,0,0,719,1280
11,a lion,0.277,4,4,715,1276
12,a lion,0.272,0,0,719,1280
12,a lion,0.272,0,0,719,1280
12,a lion,0.275,8,3,710,1277
13,a lion,0.268,0,0,719,1280
13,a lion,0.268,0,0,719,1280
13,a lion,0.274,9,14,709,1266
14,a lion,0.274,0,0,719,1280
14,a lion,0.274,0,0,719,1280
14,a lion,0.268,6,0,712,1280
15,a lion,0.266,0,0,719,1280
15,a lion,0.266,0,0,719,1280
15,a lion,0.277,9,24,709,1256
16,a lion,0.269,0,0,719,1280
16,a lion,0.269,0,0,719,1280
16,a lion,0.279,6,26,713,1254
17,a lion,0.264,0,0,719,1280
17,a lion,0.275,4,0,715,1280
17,a lion,0.273,7,17,712,1263
18,a lion,0.272,0,0,718,1280
18,a lion,0.276,4,0,715,1280
18,a lion,0.273,7,16,712,1264
19,a lion,0.272,0,0,718,1280
19,a lion,0.273,0,0,719,1280
19,a lion,0.28,6,15,712,1265
20,a lion,0.277,0,0,718,1280
20,a lion,0.272,0,0,719,1280
20,a lion,0.281,6,26,712,1254
21,a lion,0.273,0,0,718,1280
21,a lion,0.274,3,0,716,1280
21,a lion,0.284,6,12,713,1268
22,a lion,0.277,0,0,718,1280
22,a lion,0.277,0,0,719,1280
22,a lion,0.275,6,6,713,1274
23,a lion,0.289,0,0,718,1280
23,a lion,0.287,0,0,719,1280
23,a lion,0.279,8,16,710,1264
24,a lion,0.285,0,0,719,1280
24,a lion,0.285,0,0,719,1280
24,a lion,0.279,9,3,709,1277
